Item,English (original),Italian translation 1 (gpt),Italian translation (deepL),Italian translation 3,Chinese translation (gpt),Chinese translation (deepL),Chinese translation 3
EST7,I change my mood a lot.,Cambio spesso umore.,Ho frequenti sbalzi d'umore.,Cambio spesso umore.,我情绪变化很大。,我的情绪经常变化。,我情绪变化很大。
EST8,I have frequent mood swings.,Ho frequenti cambiamenti d'umore.,Ho frequenti cambiamenti d'umore.,Ho frequenti cambiamenti d'umore.,我情绪波动频繁。,我经常情绪波动。,我情绪波动频繁。
EST9,I get irritated easily.,Mi irrito facilmente.,Mi irrito facilmente.,Mi irrito facilmente.,我很容易被激怒。,我很容易被激怒。,我很容易被激怒。
EST10,I often feel blue.,Spesso mi sento triste.,Spesso mi sento triste.,Spesso mi sento triste.,我经常感到沮丧。,我经常感到忧郁。,我经常感到沮丧。
AGR1,I feel little concern for others.,Sento poca preoccupazione per gli altri.,Mi preoccupo poco per gli altri.,Sento poca preoccupazione per gli altri.,我很少关心别人。,我很少关心他人。,我很少关心别人。
AGR2,I am interested in people.,Sono interessato alle persone.,Sono interessato alle persone.,Sono interessato alle persone.,我对人很感兴趣。,我对别人感兴趣。,我对人很感兴趣。
AGR3,I insult people.,Insulto le persone.,Insulto le persone.,Insulto le persone.,我侮辱别人。,我侮辱别人。,我侮辱别人。
AGR4,I sympathize with others' feelings.,Simpatizzo con i sentimenti degli altri.,Sono solidale con i sentimenti degli altri.,Simpatizzo con i sentimenti degli altri.,我同情别人的感受。,我同情他人的感受。,我同情别人的感受。
AGR5,I am not interested in other people's problems.,Non sono interessato ai problemi degli altri.,Non mi interessano i problemi degli altri.,Non sono interessato ai problemi degli altri.,我不关心别人的问题。,我对别人的问题不感兴趣。,我不关心别人的问题。
AGR6,I have a soft heart.,Ho un cuore tenero.,Ho un cuore tenero.,Ho un cuore tenero.,我心地善良。,我心肠软。,我心地善良。
AGR7,I am not really interested in others.,Non sono veramente interessato agli altri.,Non sono veramente interessato agli altri.,Non sono veramente interessato agli altri.,我不太关心别人。,我对他人不感兴趣。,我不太关心别人。
AGR8,I take time out for others.,Dedico del tempo agli altri.,Mi prendo del tempo per gli altri.,Dedico del tempo agli altri.,我花时间照顾别人。,我为他人抽出时间。,我花时间照顾别人。
AGR9,I feel others' emotions.,Sento le emozioni degli altri.,Sento le emozioni degli altri.,Sento le emozioni degli altri.,我感受到别人的情感。,我能体会他人的情感。,我感受到别人的情感。
AGR10,I make people feel at ease.,Riesco a mettere le persone a proprio agio.,Faccio sentire le persone a proprio agio.,Riesco a mettere le persone a proprio agio.,我能让人感到舒适。,我让人感到自在。,我能让人感到舒适。
AGR10,I make people feel at ease.,Riesco a mettere le persone a proprio agio.,Faccio sentire le persone a proprio agio.,Riesco a mettere le persone a proprio agio.,我能让人感到舒适。,我让人感到自在。,我能让人感到舒适。
CSN1,I am always prepared.,Sono sempre preparato.,Sono sempre preparato.,Sono sempre preparato.,我总是准备好的。,我总是有备而来。,我总是准备好的。
CSN2,I leave my belongings around.,Lascio i miei effetti personali in giro.,Lascio le mie cose in giro.,Lascio i miei effetti personali in giro.,我随处乱放东西。,我随身携带物品。,我随处乱放东西。
CSN3,I pay attention to details.,Presto attenzione ai dettagli.,Faccio attenzione ai dettagli.,Presto attenzione ai dettagli.,我关注细节。,我注重细节。,我关注细节。
CSN4,I make a mess of things.,Faccio un pasticcio delle cose.,Faccio confusione.,Faccio un pasticcio delle cose.,我把事情搞得一团糟。,我把事情搞得一团糟。,我把事情搞得一团糟。
CSN5,I get chores done right away.,Faccio subito i compiti.,Faccio subito le faccende di casa.,Faccio subito i compiti.,我立刻做完家务。,我做完家务马上就走。,我立刻做完家务。
CSN6,I often forget to put things back in their proper place.,Spesso dimentico di mettere le cose al loro posto.,Spesso dimentico di rimettere le cose al loro posto.,Spesso dimentico di mettere le cose al loro posto.,我经常忘记把东西放回原处。,我经常忘记把东西放回原处。,我经常忘记把东西放回原处。
CSN7,I like order.,Mi piace l'ordine.,Mi piace l'ordine.,Mi piace l'ordine.,我喜欢秩序。,我喜欢秩序。,我喜欢秩序。
CSN8,I shirk my duties.,Evito i miei doveri.,Mi sottraggo ai miei doveri.,Evito i miei doveri.,我回避我的职责。,我推卸责任。,我回避我的职责。
CSN9,I follow a schedule.,Seguo un programma.,Seguo un programma.,Seguo un programma.,我遵循一个时间表。,我遵守时间表。,我遵循一个时间表。
CSN10,I am exacting in my work.,Sono esigente nel mio lavoro.,Sono esigente nel mio lavoro.,Sono esigente nel mio lavoro.,我在工作中要求严格。,我做事严谨。,我在工作中要求严格。
OPN1,I have a rich vocabulary.,Ho un vocabolario ricco.,Ho un vocabolario ricco.,Ho un vocabolario ricco.,我词汇丰富。,我有丰富的词汇。,我词汇丰富。
OPN2,I have difficulty understanding abstract ideas.,Ho difficoltà a capire le idee astratte.,Ho difficoltà a comprendere le idee astratte.,Ho difficoltà a capire le idee astratte.,我难以理解抽象概念。,我很难理解抽象概念。,我难以理解抽象概念。
OPN3,I have a vivid imagination.,Ho un'immaginazione vivida.,Ho una fervida immaginazione.,Ho un'immaginazione vivida.,我拥有丰富的想象力。,我想象力丰富。,我拥有丰富的想象力。
OPN4,I am not interested in abstract ideas.,Non sono interessato alle idee astratte.,Non mi interessano le idee astratte.,Non sono interessato alle idee astratte.,我对抽象概念不感兴趣。,我对抽象概念不感兴趣。,我对抽象概念不感兴趣。
OPN5,I have excellent ideas.,Ho idee eccellenti.,Ho idee eccellenti.,Ho idee eccellenti.,我有出色的想法。,我有出色的构思。,我有出色的想法。
OPN6,I do not have a good imagination.,Non ho una buona immaginazione.,Non ho una buona immaginazione.,Non ho una buona immaginazione.,我的想象力不太好。,我没有很好的想象力。,我的想象力不太好。
OPN7,I am quick to understand things.,Sono veloce a capire le cose.,Sono veloce nel capire le cose.,Sono veloce a capire le cose.,我很快理解事情。,我理解事物很快。,我很快理解事情。
OPN8,I use difficult words.,Uso parole difficili.,Uso parole difficili.,Uso parole difficili.,我使用困难的词汇。,我使用难以理解的词语。,我使用困难的词汇。
OPN9,I spend time reflecting on things.,Dedico tempo a riflettere sulle cose.,Dedico tempo a riflettere sulle cose.,Dedico tempo a riflettere sulle cose.,我花时间思考事情。,我花时间思考问题。,我花时间思考事情。
OPN10,I am full of ideas.,Ho molte idee.,Sono pieno di idee.,Ho molte idee.,我充满了想法。,我充满想法。,我充满了想法。
